trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
287,False,"{'a': 0.01, 'e': 0.05726876026546736}",20,16,7.008725202682829,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.0566989265798469}",25,8,21.95386274716636,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.056134762834133725}",20,15,9.538151999792976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05557621261148306}",20,3,26.282067366840213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.05502322005640723}",35,18,33.001370609142846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05447572986918986}",30,8,33.44673735497436,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05393368730035602}",25,14,8.72958715698844,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.053397038145197084}",20,0,-52.732640205083804,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
295,False,"{'a': 0.01, 'e': 0.05286572873835037}",20,11,8.606630801942964,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05233970594843238}",25,11,24.117141634133418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.05181891717272583}",35,8,36.79827478658973,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.05130331033191911}",30,20,17.58713841428621,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.0507928338648985}",30,10,33.14116676328672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,5,-19.58016270331436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.01, 'e': 0.049787068367863944}",20,8,19.727023150804385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04929167876046215}",30,7,33.828228782135625,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.04880121836201296}",25,16,14.72186056845668,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04831563812606777}",30,18,22.997513823555852,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04783488949419837}",25,8,33.87592529869795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.04735892439114091}",20,8,18.679895371030096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.046887695219988486}",25,12,25.855446117789704,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.04642115485743125}",30,7,36.398783037128936,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
